FirstName,LastName,Sex,Height,Assessment,Handedness
Adam,Edwards,Male,167,0.03,FALSE
Irene,Coleman,Female,175,0.43,TRUE
Raymond,Wells,Male,187,0.14,FALSE
Rose,Howell,Female,170,0.71,FALSE
Joe,Pierce,Male,165,0.93,FALSE
Louise,Johnston,Female,184,0.93,FALSE
Joe,Oliver,Male,173,0.48,TRUE
Scott,Dixon,Male,172,0.01,FALSE
Marie,Carpenter,Female,166,0.23,FALSE
Roger,Martinez,Male,180,0.79,TRUE
Robin,Grant,Female,163,0.37,FALSE
Paula,Cunningham,Female,167,0.57,TRUE
Gloria,Medina,Female,169,0.17,TRUE
Linda,Hughes,Female,187,0.86,FALSE
Antonio,Ramirez,Male,188,0.99,FALSE
Scott,Vasquez,Male,189,0.65,TRUE
Heather,Grant,Female,186,0,TRUE
Beverly,Thompson,Female,164,0.14,TRUE
Brenda,Elliott,Female,167,0.58,TRUE
Thomas,Washington,Male,161,0.19,FALSE
Matthew,Bailey,Male,171,0.42,FALSE
Paula,Garza,Female,165,0.23,FALSE
Linda,Ramirez,Female,190,0.73,TRUE
Betty,Garrett,Female,188,0.24,TRUE
Justin,Elliott,Male,179,0.83,TRUE
